# Berlekamp #322 deployment ε table (target 128-bit)

Two codim conjectures:
  - codim_opt = 2(D - w'_min - 1)  [Note 0114, distinct-extras case]
  - codim_worst = 2(c - 1)         [Note 0116, shared-extras worst case]
ε bits = codim · log2(|F|), poly factor ignored.

| field | F_b | n_log | ρ | D | c | T | w'_min | codim_opt | ε_opt | codim_w | ε_worst | verdict |
| KoalaBear | 31 | 2^21 | 1/2 | 1048576 | 3 | 699050 | 524287 | 1048576 | 32493991 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^21 | 1/2 | 1048576 | 4 | 524287 | 419430 | 1258290 | 38992752 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^21 | 1/2 | 1048576 | 6 | 349525 | 299593 | 1497964 | 46419934 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^21 | 1/2 | 1048576 | 9 | 233016 | 209715 | 1677720 | 51990336 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^21 | 1/4 | 1572864 | 3 | 1048575 | 786431 | 1572864 | 48740987 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^21 | 1/4 | 1572864 | 4 | 786431 | 629145 | 1887436 | 58489159 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^21 | 1/4 | 1572864 | 6 | 524287 | 449389 | 2246948 | 69629963 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^21 | 1/4 | 1572864 | 9 | 349525 | 314572 | 2516582 | 77985566 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^21 | 1/8 | 1835008 | 3 | 1223338 | 917503 | 1835008 | 56864484 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^21 | 1/8 | 1835008 | 4 | 917503 | 734003 | 2202008 | 68237332 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^21 | 1/8 | 1835008 | 6 | 611669 | 524287 | 2621440 | 81234978 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^21 | 1/8 | 1835008 | 9 | 407779 | 367001 | 2936012 | 90983150 | 16 | 496 | OK (496b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/2 | 512 | 3 | 341 | 255 | 512 | 95197 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/2 | 512 | 4 | 255 | 204 | 614 | 114162 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/2 | 512 | 6 | 170 | 146 | 730 | 135730 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/2 | 512 | 9 | 113 | 102 | 818 | 152092 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/4 | 768 | 3 | 511 | 383 | 768 | 142796 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/4 | 768 | 4 | 383 | 307 | 920 | 171058 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/4 | 768 | 6 | 255 | 219 | 1096 | 203782 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/4 | 768 | 9 | 170 | 153 | 1228 | 228325 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/8 | 896 | 3 | 597 | 447 | 896 | 166595 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/8 | 896 | 4 | 447 | 358 | 1074 | 199691 | 6 | 1116 | OK (1116b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/8 | 896 | 6 | 298 | 255 | 1280 | 237993 | 10 | 1859 | OK (1859b) (worst) |
| KoalaBear-ext6 | 186 | 2^10 | 1/8 | 896 | 9 | 199 | 179 | 1432 | 266255 | 16 | 2975 | OK (2975b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/2 | 2048 | 3 | 1365 | 1023 | 2048 | 380789 | 4 | 744 | OK (744b) (worst) |
| KoalaBear-ext6 | 186 | 2^12 | 1/2 | 2048 | 4 | 1023 | 819 | 2456 | 456649 | 6 | 1116 | OK (1116b) (worst) |
