# D3 NI 128-bit, KoalaBear-ext6 etc. — Berlekamp commit gain
OLD: commit ≤ n/|F| (BCIKS-generic, c-independent).
NEW: commit ≤ T/|F| + q^{-2(c-1)}·n (Note 0117/0119).  Δgain = log2(c).

| field | F_b | n_log | ρ | c | cap_old | cap_new | Δcap | t_old | t_new | KiB_old | KiB_new |
| Goldilocks-ext2 | 128 | 2^20 | 1/2 | 6 | 39.7 | 42.3 | +2.58 | — | — | — | — |
| Goldilocks-ext2 | 128 | 2^20 | 1/2 | 9 | 39.7 | 42.8 | +3.17 | — | — | — | — |
| Goldilocks-ext2 | 128 | 2^21 | 1/2 | 3 | 38.6 | 40.2 | +1.58 | — | — | — | — |
| Goldilocks-ext2 | 128 | 2^21 | 1/2 | 4 | 38.6 | 40.6 | +2.00 | — | — | — | — |
| Goldilocks-ext2 | 128 | 2^21 | 1/2 | 6 | 38.6 | 41.2 | +2.58 | — | — | — | — |
| Goldilocks-ext2 | 128 | 2^21 | 1/2 | 9 | 38.6 | 41.8 | +3.17 | — | — | — | — |

# Summary at NI 128-bit (q_loss=64, κ=384, δ given per row)
  total rows: 80
  feasible OLD: 4
  feasible NEW: 8
  flipped infeasible→feasible by Berlekamp: 4
  flipped:
    BabyBear-ext7      n=2^21 ρ=1/2 c=3: cap_old=127.0 → cap_new=128.5, t_new=597
    BabyBear-ext7      n=2^21 ρ=1/2 c=4: cap_old=127.0 → cap_new=129.0, t_new=597
    BabyBear-ext7      n=2^21 ρ=1/2 c=6: cap_old=127.0 → cap_new=129.5, t_new=597
    BabyBear-ext7      n=2^21 ρ=1/2 c=9: cap_old=127.0 → cap_new=130.1, t_new=597
